mom_cohort,mom_tag,pup_cohort,pup_tag
BB(2),169,WW(2),1
LB(2),1,YO(1),1
OY(1),51,FB(1),1
OY(1),51,LB(2),1
OY(1),51,GW(2),1
PG(1),128,GG(2),1
RW(1),3,BB(3),1
YY(2),491,RW(1),1
BF(1),388,GW(2),2
GG(2),38,YY(3),2
OB(2),3,GG(2),2
PG(1),18,BB(3),2
PG(1),287,RW(1),2
YY(2),491,WW(2),2
YY(2),491,LB(2),2
GR(1),17,LB(2),3
OB(2),163,YO(1),3
YY(2),88,GW(2),3
YY(2),216,FB(1),3
BB(2),73,GW(2),4
BB(2),95,FB(1),4
LB(2),463,GR(2),4
YY(2),448,LB(2),4
BB(2),49,FB(1),5
BB(2),49,LB(2),5
OB(1),34,PG(1),5
OB(2),52,GG(2),5
OY(1),317,GW(2),5
GR(2),283,BB(3),6
GW(2),298,OB(2),6
LB(2),139,YO(1),6
OB(2),69,WB(2),6
PG(1),321,RW(1),6
RW(1),363,OO(3),6
WB(2),32,YY(3),6
YO(1),216,WW(2),6
YP(1),57,GW(2),6
BB(2),257,YO(1),7
FB(1),388,GG(2),7
GW(2),37,OB(2),7
OB(1),394,GW(2),7
OB(2),3,WB(2),7
PP(2),321,PG(1),7
RR(2),68,LB(2),7
RW(1),167,YY(3),7
YO(1),377,WW(2),7
GR(2),90,YY(3),8
GW(2),37,PG(1),8
OB(1),74,OB(2),8
OB(2),3,RW(1),8
OB(2),69,OO(3),8
OB(2),69,WW(2),8
FB(1),133,RW(1),9
GW(1),206,GW(2),9
GW(2),37,YO(1),9
LB(2),139,WB(2),9
YO(1),6,YY(3),9
FB(1),388,BB(3),10
FB(1),388,OO(3),10
GR(2),177,WB(2),10
OO(2),91,PG(1),10
PP(2),293,GR(2),10
RW(1),148,YY(3),10
YY(2),6,LB(2),10
YY(2),119,GW(2),10
BB(2),169,GG(2),11
FB(1),427,PG(1),11
GR(2),221,WB(2),11
LB(2),139,OO(3),11
PG(1),24,WW(2),11
RR(2),111,LB(2),11
WW(2),436,YY(3),11
YY(2),39,GR(2),11
BB(2),97,GW(2),12
GR(2),61,GG(2),12
GW(2),274,GR(2),12
OB(2),37,YO(1),12
RR(2),289,LB(2),12
WB(2),506,BB(3),12
YO(1),481,OO(3),12
YY(2),198,FB(1),12
BB(2),264,WB(2),13
OB(2),328,GG(2),13
OO(2),157,FB(1),13
RW(1),507,BB(3),13
WB(2),91,OO(3),13
YY(2),9,GR(2),13
YY(2),216,GW(2),13
FB(1),401,BB(3),14
OB(2),60,WW(2),14
OB(2),100,YO(1),14
PG(1),293,GG(2),14
RR(2),71,FB(1),14
YP(1),57,LB(2),14
BP(1),22,LB(2),15
PG(1),153,GG(2),15
PP(2),186,PG(1),15
WB(1),60,OB(2),15
OB(1),74,LB(2),16
RR(2),423,FB(1),16
YO(1),157,YY(3),16
YY(2),6,GR(2),16
YY(2),289,PG(1),16
BB(2),264,PG(1),17
GR(1),17,FB(1),17
PG(1),293,OO(3),17
PP(2),374,OB(2),17
GR(2),45,GG(2),18
RR(2),101,GR(2),18
YY(2),9,LB(2),18
YY(2),218,PG(1),18
OO(2),75,GW(2),19
OO(2),117,OB(2),19
PG(1),24,GG(2),19
YP(1),57,FB(1),19
YY(2),198,LB(2),19
FB(1),356,YO(1),20
FB(1),401,OO(3),20
GR(1),444,OB(2),20
GR(2),499,WB(2),20
LB(2),139,PG(1),20
FB(1),47,YO(1),21
LB(2),146,GG(2),21
OB(2),52,WW(2),21
OB(2),60,OO(3),21
OO(2),157,LB(2),21
OO(2),406,RW(1),21
YY(2),289,OB(2),21
FB(1),321,PG(1),22
GR(2),461,GG(2),22
OO(2),100,GR(2),22
OO(2),168,LB(2),22
PG(1),287,OO(3),22
PP(2),125,OB(2),22
YO(1),53,BB(3),22
LB(2),240,GR(2),23
YY(2),491,GG(2),23
GG(1),57,GW(2),24
OB(2),60,YY(3),24
OB(2),502,YO(1),24
OO(2),406,PG(1),24
YY(2),403,LB(2),24
LB(2),146,YO(1),25
OB(2),328,YY(3),25
PO(1),223,FB(1),25
BB(2),264,YO(1),26
FB(1),401,PG(1),26
GW(2),50,OB(2),26
PP(2),109,FB(1),26
RW(1),224,OO(3),26
GR(1),17,OB(2),27
GR(1),444,FB(1),27
GW(2),37,GR(2),27
OB(2),163,GG(2),27
OO(2),406,WB(2),27
RW(1),437,YY(3),27
BB(2),169,YO(1),28
GW(2),344,WB(2),28
OB(1),74,FB(1),28
OY(1),197,PG(1),28
OY(1),317,LB(2),28
PG(1),18,WW(2),28
OB(2),427,GG(2),29
RR(2),116,YO(1),29
YO(1),5,YY(3),29
YY(2),137,LB(2),29
YY(2),260,FB(1),29
YY(2),289,WB(2),29
GG(1),34,OB(2),30
GR(2),322,WB(2),30
OB(2),60,GG(2),30
OO(2),21,LB(2),30
OY(1),197,YO(1),30
RR(2),116,RW(1),30
RR(2),217,PG(1),30
WB(2),506,WW(2),30
YY(2),491,FB(1),30
BB(2),169,RW(1),31
BB(2),257,OB(2),31
GW(2),413,GR(2),31
LB(2),58,YO(1),31
PG(1),241,GG(2),31
PO(1),223,LB(2),31
RW(1),376,YY(3),31
BB(2),79,GW(2),32
GR(2),278,OO(3),32
GW(2),427,PG(1),32
LB(2),203,WW(2),32
RW(1),452,YY(3),32
WR(1),93,FB(1),32
YY(2),480,OB(2),32
FB(1),372,PG(1),33
FB(1),388,WW(2),33
GR(2),419,WB(2),33
PG(1),374,GG(2),33
RR(2),91,YO(1),33
WB(2),511,OO(3),33
BP(1),21,GW(2),34
GG(1),57,FB(1),34
GR(2),90,OO(3),34
OO(2),406,GG(2),34
PP(2),57,OB(2),34
YY(2),289,GR(2),34
BB(2),95,OB(2),35
LB(2),139,WW(2),35
PG(1),43,GG(2),35
WW(1),78,RW(1),35
BB(2),61,GW(2),36
LB(2),31,GR(2),36
OB(2),60,YO(1),36
PG(1),153,YY(3),36
PO(1),43,PG(1),36
YO(1),215,WW(2),36
YY(2),198,OB(2),36
GR(1),444,LB(2),37
GR(2),75,WW(2),37
LB(2),343,RW(1),37
PP(2),333,FB(1),37
OB(1),213,FB(1),38
WB(2),15,OO(3),38
YY(2),24,GW(2),38
BP(1),22,GW(2),39
FB(1),401,GG(2),39
OB(2),468,WB(2),39
YP(1),354,LB(2),39
YY(2),87,OB(2),39
OB(1),165,FB(1),40
OB(2),62,YO(1),40
FB(1),401,WW(2),41
LB(2),296,GG(2),41
YY(2),26,LB(2),41
YY(2),289,GW(2),41
FB(1),401,RW(1),42
PO(1),223,GW(2),42
WW(1),372,LB(2),42
GW(2),344,RW(1),43
LB(2),296,YO(1),43
PG(1),401,WW(2),43
PP(2),58,OB(2),43
WB(2),318,OO(3),43
GR(2),247,WB(2),44
GW(2),344,GG(2),44
OB(1),74,GW(2),44
OB(1),165,OB(2),44
OO(2),100,PG(1),44
BF(1),118,GW(2),45
FB(1),293,YO(1),45
OB(1),394,LB(2),45
OB(2),427,OO(3),45
OO(2),15,FB(1),45
PG(1),348,GG(2),45
YO(1),3,WW(2),45
YO(1),481,BB(3),45
BP(1),358,GW(2),46
LB(2),25,GG(2),46
WB(1),209,LB(2),46
YY(2),403,FB(1),46
GR(1),444,GW(2),47
OO(2),157,OB(2),47
PO(1),162,LB(2),47
RR(2),423,YO(1),47
RW(1),437,BB(3),47
YY(2),240,PG(1),47
BB(2),99,GW(2),48
LB(2),310,PG(1),48
PP(2),190,FB(1),48
PP(2),321,GG(2),48
